Período;SAWP;Nino 4;Nino 34;Nino 3;Nino 12;ACT;TSA;TNA;Dipolo
1981-09;0.092294;-0.111054202;-0.246371961;-0.269753647;-0.535868146;0.118589508;0.156178811;0.133303677;-0.022875134
1981-10;0.266954894;0.000508505;-0.129179261;-0.096431688;-0.732696057;0.25396829;0.290035649;-0.02397728;-0.314012929
1981-11;0.296317783;-0.123427217;-0.576828785;-0.501933112;-0.453505154;0.24670213;0.233035554;0.224627517;-0.008408037
1981-12;0.123480737;-0.021683541;-0.289502494;-0.081660142;-0.026319282;0.174606893;0.186031873;0.494887047;0.308855174
1982-01;0.040441664;0.044337403;0.194812856;0.279402274;-0.279758886;0.032800679;0.030997872;0.300065164;0.269067291
1982-02;-0.1252104;0.134038079;-0.109554731;-0.019144087;-0.780158082;-0.073336424;-0.086468989;0.239982519;0.326451508
1982-03;-0.086398506;0.227934923;-0.042922028;-0.160501726;-1.463166125;-0.097716783;-0.1517527;0.2724711;0.424223799
1982-04;-0.013605288;0.377503459;0.114483303;0.029750409;-1.224325078;-0.202558358;-0.254138156;0.047292007;0.301430162
1982-05;-0.228835065;0.651717227;0.586423775;0.588974629;-0.617042352;-0.406784846;-0.395324805;0.148967703;0.544292508
1982-06;-0.172065483;0.886895199;0.756261205;0.569974325;-0.237899916;-0.582140375;-0.250275645;0.167741519;0.418017164
1982-07;-0.317808642;0.232760427;0.375925829;0.352805818;0.278332541;-0.373720824;-0.449724165;0.045902594;0.495626759
1982-08;-0.508578581;0.279671644;0.999733214;0.942219479;0.88274877;-0.409576242;-0.674885653;-0.098234601;0.576651052
1982-09;-0.145526955;0.54799552;1.395421703;1.643371963;1.332816697;-0.3260225;-0.31212409;-0.190790385;0.121333706
1982-10;-0.1636189;0.731785705;1.919961129;2.132334834;1.822823833;-0.154475694;-0.265459787;-0.319601924;-0.054142137
1982-11;-0.178592329;0.453005699;1.867304433;2.370392845;2.870103902;-0.195714202;-0.245391554;-0.323396947;-0.078005393
1982-12;-0.201382074;0.649641877;2.399158541;2.992003962;2.983181344;0.082190353;-0.273199678;-0.510200184;-0.237000506
1983-01;0.097119152;0.711888178;2.329162139;2.891360282;2.424713121;0.236721139;0.217691843;-0.183489415;-0.401181259
1983-02;0.160249742;0.73489841;1.993433925;2.174770658;1.631913414;0.341518074;0.241372595;0.354937565;0.11356497
1983-03;0.121384863;0.694474041;1.399698662;1.456258983;1.912317911;0.094008903;-0.012631818;0.844474003;0.857105821
1983-04;0.031918025;0.276789463;0.837390783;1.342754986;2.639578587;0.039475403;-0.155670503;0.823633914;0.979304417
1983-05;-0.471241287;0.452074781;0.813527422;1.579584771;3.480136379;-0.210858851;-0.49607781;0.464519592;0.960597402
1983-06;-0.25195225;0.211336843;0.561249526;1.578593412;4.167058294;-0.509441547;-0.220155923;0.464229315;0.684385238
1983-07;-0.192163335;-0.065379411;-0.284719242;0.727803622;3.942202725;-0.34586208;-0.269841336;0.119199503;0.389040839
1983-08;0.226855621;-0.245257668;-0.387998878;0.624905733;2.818082403;-0.316501539;0.158317489;-0.067898677;-0.226216165
1983-09;0.09745081;-0.384538009;-0.325810298;0.26926129;1.503101005;-0.253186776;0.174864757;0.034552586;-0.140312171
1983-10;-0.12769718;-0.806956626;-0.980481535;-0.500206976;1.063043564;-0.026921292;-0.126394219;-0.174834464;-0.048440245
1983-11;0.031222366;-0.789059996;-1.275405839;-1.040465158;0.328332096;0.036079204;0.170659183;0.181482537;0.010823354
1983-12;0.115484471;-0.768597982;-1.12596941;-0.855238325;0.129824599;0.10645136;0.346883956;0.381626391;0.034742434
1984-01;0.264628854;-0.601943417;-0.90163903;-0.845424323;-0.247482359;-0.111003672;0.564509639;0.139077054;-0.425432585
1984-02;0.490296065;-0.640031284;-0.055215449;0.138892654;-0.914914156;0.009946011;0.74477227;0.128285536;-0.616486734
1984-03;0.528774174;-0.708085505;-0.440591947;-0.196208291;-0.914115199;0.108442027;0.625594516;0.073479787;-0.55211473
1984-04;0.553464059;-0.751927843;-0.442021073;-0.198683694;-0.462208758;0.1780885;0.397091354;0.043289333;-0.353802021
1984-05;0.182159758;-0.629069818;-0.614983784;-0.780114869;-1.230513834;0.133641452;0.10504678;0.059356837;-0.045689942
1984-06;0.057307788;-0.570128952;-0.983827385;-1.268678065;-0.975489689;0.573011952;0.166466331;-0.15446623;-0.320932562
1984-07;0.069103997;-0.200795707;-0.606794673;-0.777975494;-0.67557935;0.670811879;0.136638325;-0.276631087;-0.413269412
1984-08;0.279191984;-0.411769469;-0.444035414;-0.490865021;-0.584433984;0.752628079;0.424952255;-0.229087714;-0.65403997
1984-09;0.356295809;-0.223947149;-0.32071631;-0.2102425;-0.363391119;0.817881509;0.49434071;-0.288469688;-0.782810398
1984-10;0.242159324;-0.440341596;-0.673486683;-0.84554963;-0.438221115;0.402440987;0.265845177;-0.445037854;-0.710883031
1984-11;0.062070538;-0.530049946;-1.271254081;-0.999821259;-0.260286708;0.250274308;0.239339772;-0.356484198;-0.59582397
1984-12;0.119171999;-0.782155681;-1.435183589;-1.332173715;-0.298216185;0.345550384;0.152009018;-0.268838952;-0.420847971
1985-01;0.685737724;-0.593145083;-1.228862394;-1.344107699;-1.008608261;0.083131363;0.489475323;-0.239777068;-0.729252391
1985-02;0.77858862;-0.338811609;-0.839994584;-1.077154448;-1.379444856;-0.00211913;0.61434092;-0.166104856;-0.780445776
1985-03;0.328350603;-0.780486817;-0.807316502;-0.884894759;-0.957214735;-0.238465578;0.207927907;-0.442207111;-0.650135018
1985-04;0.196777136;-0.884456413;-1.041323906;-0.867698263;-1.465921347;-0.088733989;0.136418611;-0.523431272;-0.659849883
1985-05;0.160784725;-0.89442424;-1.008567622;-1.169049195;-1.940836246;0.051153787;0.11883006;-0.627100544;-0.745930605
1985-06;0.079969621;-0.757514777;-1.005129194;-1.141276683;-1.318277813;0.002661127;0.01709501;-0.077139354;-0.094234364
1985-07;0.105941244;-0.529668653;-0.703421495;-1.079016273;-1.302058796;0.085256794;0.078388677;0.000618218;-0.077770459
1985-08;0.338831584;-0.377746449;-0.534276432;-0.913462173;-1.262740375;0.198450161;0.306249193;-0.036936887;-0.34318608
1985-09;0.138090027;-0.387657055;-0.693000786;-0.89946531;-1.326115637;0.078809803;0.117525693;-0.135563482;-0.253089175
1985-10;0.145686254;-0.348350437;-0.649738826;-0.905814547;-1.092165512;0.075585528;0.224662485;-0.211599877;-0.436262361
1985-11;0.091947871;-0.133783274;-0.479809843;-0.836802703;-0.812548074;0.112080074;0.270489462;-0.050802266;-0.321291728
